id            ,speaker_utterance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,listener_utterance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,empathy
sub_1_conv_1  ,So once I felt like I really trust my dog when I could just let him off the leash and he would just follow me around. I feel like I could trust him then.                                                                                                                                                                                                                                                                                                                                                                                                                                             ,That sounds very interesting. And do you often go for walks with your dog?                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      1
sub_1_conv_1  ,"Yes, he is a really really good dog. He's a good boy and I can trust that he behaves even though we sometimes have like many people going around there"                                                                                                                                                                                                                                                                                                                                                                                                                                              ,How long have you been together?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      1
sub_1_conv_2  ,So once I felt really really sad when my friends just cancelled my birthday dinner that they told me like a week before that that we will have it and then they just cancelled out of the blue.                                                                                                                                                                                                                                                                                                                                                                                                       ,how can they do that?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,      1
sub_1_conv_2  ,"They said that they were all busy and they had something but I don't know, I think they just made an excuse there, which made me really sad."                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,I hope that I can be there with you. Maybe can make you feel better.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,      1
sub_1_conv_3  ,I recently went to the water park and it was like super super fun like I have never gone there and and well now I have and it's great                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,it's great to hear that who do you go there with?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,      1
sub_1_conv_3  ,"Oh, I went alone, which sometimes you would think it's like bad, but no, I had a really fun time."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,That sounds very good.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,      1
sub_1_conv_4  ,I was recently very afraid because I saw a huge spider just while I was taking a shower. like I was just there and suddenly opened my eyes and there was this huge spider and it moved so fast oh it was it was very scary                                                                                                                                                                                                                                                                                                                                                                            ,so scary I'm also afraid of spider a lot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,      1
sub_1_conv_4  ,yeah they're like very nasty and if they like bite you I heard some can actually kill you                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,I will immediately run away if I saw a spider                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,      1
sub_1_conv_5  ,"So, recently I lost my wallet and I didn't like expect to see it again. So it was very surprising that an old man contacted me that he found it on the street and he actually gave it to me. that is pretty impressive. I feel like I gained some faith in humanity."                                                                                                                                                                                                                                                                                                                                ,That's really common in Japan. People will find it and help you.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      1
sub_1_conv_5  ,"Yeah, that is amazing. That is something that I don't expect in other parts of the world, right? That is... Wow."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,That's great.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,      1
sub_1_conv_6  ,"So I get actually kind of angry when I cannot leave work on time, when I have a lot of things to do and like my boss tells me to stay here and have to work, you know, that's really annoying."                                                                                                                                                                                                                                                                                                                                                                                                      ,I agree. I also don't want to work overtime.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,      1
