speaker_utterance,listener_utterance,usable,id,Empathy_1,Empathy_2,final_label
"What is your favorite subject?
",Nature and technology.,1,ND_1,1,1,1
What are your ages?,My age is 12.,1,ND_1,1,1,1
What grade are you?,6th grade. But we have a different grading school. It starts from zero.,1,ND_1,1,1,1
We also start with zero,How is your school?,1,ND_1,2,3,3
It is wonderful.,"To be honest, I hate my school. I don’t like going to school.",1,ND_1,1,1,1
I like school.,"I like school, but I also don’t? I don’t know",1,ND_1,1,1,1
I took this picture of my bike because I go to school on it. You can also see my house in the background.,Do you go to school without a school uniform?,1,DN_1,1,1,1
Yeah because I go to a public school.,I see. Do you guys do the piano dance?,1,DN_1,1,1,1
I used to play the piano. But now I play the violin.,"No, I’m talking about dancing.",1,DN_1,1,1,1
"oh no, I do ballet.","I see.
",1,DN_1,1,1,1
How do you go to school? ,I live in the school.,1,DN_1,1,1,1
Are you guys not having exams?,"Oh no, not at the moment. Well, she might but I’m not. What is the name of you guys’ school?",1,ND_2,2,3,3
 primary school. And yours?,"We go to Bember and she goes to South
",1,ND_2,1,1,1
"Those are nice school names. And really, what is your favorite sport?",My favorite sport is probably soccer,1,ND_2,1,1,1
Oh! ,I used to play but now I don't play much anymore,1,ND_2,1,1,1
Why?! ,"Maybe it is cause I do other things, like I act. I’m an actor",1,ND_2,1,1,1
Wow!,Actress I guess,1,ND_2,1,1,1
What movie did you play?,"Oh, not like a movie actor. Just musical theater and art creatively ",1,ND_2,2,2,1
Oh,"Like, do you know about it? So, I just do…there is a field of theater districts in Bloomington that I do just once in a while. I’m not hugely hugely experienced but I enjoy it and singing",1,ND_2,1,1,1
So you sing?,Yes,1,ND_2,1,1,1
What is your favorite song,"You know, I don’t really have a favorite song but probably anything from Hamilton.",1,ND_2,1,1,1
Can you sing for us?,"Hahaha, I don’t know. There is this weird thing, I can sing in front of people I don’t know. But singing in a room with people I know is so weird.",1,ND_2,1,1,1
How is your country like (there?),Pretty good. How is yours?,1,ND_2,2,3,3
Fine. Is it daytime?,Do you guys have pets?,1,ND_2,1,1,1
What is the name of your instrument?,It is a trombone.,1,ND_2,1,1,1
"I enjoy making costumes. I like roleplaying.
",Is that a school project or you’re just doing it for fun?,1,DN_2,3,3,3
I made it for fun and for other people who like acting.,That is nice.,1,DN_2,3,1,2
Why did you take a picture of this?,Because I like it. It reflects my identity.,1,DN_2,3,1,1
That is nice to hear.,Thank you,1,DN_2,3,1,1
What is your favorite color?,"Pink, red, and blue.",1,DN_2,3,1,1
It is my basketball t-shirt.,What is your favorite basketball player?,1,ND_3,1,1,1
It is Lebron James,Wooww! I don’t like Lebrone. James,1,ND_3,1,1,1
Why do you like Lebron?, I think he is a good player. I like his playing style.,1,DN_3,1,1,1
Can I ask you a question?,Yeah,1,ND_4,1,1,1
Who is your favorite celebrity?,I really like Taylos Swift because she is a strong and independent woman.,1,ND_4,1,1,1
"So, she wanted to know who your favorite celebrities are","Jenna Ortega, Kanye West, and Taylor Swift",1,ND_4,1,1,1
Ok,Did you get it?,1,ND_4,1,1,1
Yeah,What about yours?,1,ND_4,1,1,1
Mine is Katty B and Nicki Minaj,Who? Is that even a celebrity? ,1,ND_4,1,1,1
