text,label,revised_label,valence,arousal,sentiment,speaker_utterance,predictions_ER,predictions_IP,predictions_EX,classification_label,reason,who,emotional_reaction,interpretations,explorations
That sounds very interesting. And do you often go for walks with your dog?,0,0,0.5,0.2,neutral,this is a dummy text,1,0,2,0,"The utterance expresses curiosity about the other person's activities and shows engagement, but it does not explicitly seek or provide empathy regarding feelings or emotions.",1,0,0,1
How long have you been together?,0,0,0,0,neutral,this is a dummy text,0,0,2,0,The utterance is a straightforward question that seeks factual information about the duration of a relationship. It does not express or elicit emotional content or empathy.,1,0,0,0
how can they do that?,0,0,-0.2 (slightly negative due to the implied disapproval or concern),0.2 (slightly aroused due to the questioning tone),negative,this is a dummy text,0,0,1,0,"The utterance ""how can they do that?"" expresses confusion or disbelief about someone's actions, but it does not explicitly seek or provide empathy. It is more of a rhetorical question that does not indicate a desire for emotional connection or understanding.",0 (the focus is on the speaker's perspective),0 (no explicit emotional response),0 (no expression of understanding),0 (no probing into another's emotions)
I hope that I can be there with you. Maybe can make you feel better.,0,2,0.5,0.5,positive,this is a dummy text,1,0,0,2,"The utterance expresses a desire to support and comfort someone, indicating a willingness to provide empathy and help alleviate their feelings.",1,1,1,1
it's great to hear that who do you go there with?,0,2,1,0.5,positive,this is a dummy text,1,0,2,0,"The utterance expresses a positive sentiment about hearing something good and follows up with a question about the person’s company, indicating interest in their experience. However, it does not explicitly seek or provide empathy.",1,0,0,1
That sounds very good.,0,0,1,0.5,positive,this is a dummy text,1,0,0,0,"The utterance expresses a positive sentiment but does not seek or provide empathy. It is a straightforward acknowledgment of something being ""very good"" without delving into emotions or feelings.",0,0,0,0
so scary I'm also afraid of spider a lot,0,2,-0.5 (indicating a negative emotional state due to fear),0.5 (indicating moderate emotional intensity due to fear),negative,this is a dummy text,0,2,0,1,"The utterance expresses a personal fear (of spiders) and indicates a shared emotional experience, suggesting a desire for understanding and connection.",0 (the focus is on the speaker's own feelings),1 (the speaker expresses a weak emotional response by stating fear),0 (there is no indication of understanding from another person),0 (no probing into the situation of another)
I will immediately run away if I saw a spider,0,0,-0.5 (indicating a negative emotional response to the thought of encountering a spider),0.5 (indicating a moderate level of emotional intensity due to the fear of spiders),negative,this is a dummy text,0,2,0,0,The utterance expresses a personal reaction to a specific fear (spiders) but does not seek or provide empathy towards another person. It is a straightforward statement about a fear response.,0 (the focus is on the speaker's own feelings and reactions),1 (the speaker expresses a weak emotional response related to fear),0 (there is no expression of understanding towards another person's feelings),0 (there is no probing into another person's emotions or situation)
That's really common in Japan. People will find it and help you.,0,0,0,0,neutral,this is a dummy text,0,0,0,0,"The utterance provides information about a common social behavior in Japan, indicating a supportive environment where people help each other. However, it does not express personal feelings or emotions, nor does it seek or provide empathy directly.",2,0,0,0
That's great.,0,0,1 (indicates a positive emotional polarity),0.5 (indicates a moderate level of emotional intensity),positive,this is a dummy text,1,0,0,0,"The utterance ""That's great."" expresses a positive sentiment but does not seek or provide empathy. It is a straightforward acknowledgment of something positive without delving into emotions or feelings.",0 (the focus is on the speaker's reaction),0 (does not allude to any emotion),0 (no expression of understanding),0 (no interest or probing into the situation of another)
I agree. I also don't want to work overtime.,0,0,0,0,neutral,this is a dummy text,1,2,0,0,"The utterance expresses agreement with a sentiment about not wanting to work overtime, but it does not seek or provide empathy. It is more of a straightforward acknowledgment of a shared feeling rather than an emotional exchange.",0,0,0,0
"Yes, true.",0,0,0,0,neutral,this is a dummy text,1,2,0,0,"The utterance ""Yes, true."" is a simple acknowledgment and does not express a desire for empathy or provide any empathetic response. It is straightforward and does not engage with emotions or feelings.",0,0,0,0
"Yes, I agree",0,0,0,0,neutral,this is a dummy text,1,0,0,0,"The utterance ""Yes, I agree"" is a straightforward affirmation and does not express a desire for empathy or provide empathetic understanding. It is fact-oriented and lacks emotional depth.",0,0,0,0
