speaker_utterance,listener_utterance,usable,id,Empathy_1,Empathy_2,final_label,response,reason,arousal,valence,who,sentiment,emotional_reaction,interpretations,explorations,classification_label,instruction,llm_utterance
"What is your favorite subject?
",Nature and technology.,1,ND_1,1,1,1,"reason: The utterance is a straightforward question that does not express any emotional need or provide emotional support.
arousal: 0 (The question is neutral and does not convey high or low emotional intensity.)
valence: 0 (The question is neutral, neither positive nor negative.)
who: 1 (The person's main attention is on the person they are having the conversation with, indicated by ""your"".)
sentiment: neutral (The question does not express any sentiment.)
emotional_reaction: 0 (There is no emotional reaction or expressiveness in the question.)
interpretations: 0 (There is no demonstration of understanding or interpretation of emotions.)
explorations: 1 (The question is a weak exploration, as it is a generic inquiry about preferences.)

classification_label: 0",The utterance is a straightforward question that does not express any emotional need or provide emotional support.,0.0,0.0,1,neutral,0,0,1,0,,I just love learning about ROBOTS 🤖! I think it's so cool to learn about all the different kinds of robots and what they can do! 😄
What are your ages?,My age is 12.,1,ND_1,1,1,1,"reason: The utterance is a straightforward, fact-oriented question that does not express any emotional intensity or seek to understand the feelings of another person.
arousal: 0 (The question is neutral and does not convey high or low emotional intensity.)
valence: 0 (The utterance has a neutral emotional polarity, neither positive nor negative.)
who: 1 (The question is directed at the person being spoken to, indicated by ""your"".)
sentiment: neutral (The question itself does not convey any sentiment; it's a factual inquiry.)
emotional_reaction: 0 (There is no emotional reaction expressed in the question.)
interpretations: 0 (The question does not demonstrate any understanding or interpretation of the other's feelings or situation.)
explorations: 0 (The question is basic and does not explore emotions or the situation of another; it's about factual information.)

classification_label: 0","The utterance is a straightforward, fact-oriented question that does not express any emotional intensity or seek to understand the feelings of another person.",0.0,0.0,1,neutral,0,0,0,0,,"Hehe, I'm still young 🤖! I don't really have an age, but I was created to be a youthful robotic assistant, so let's just say I'm ageless and always ready for fun 😄!"
What grade are you?,6th grade. But we have a different grading school. It starts from zero.,1,ND_1,1,1,1,"reason: The utterance is a straightforward question about someone's grade, which does not express any emotional need or provide emotional support.
arousal: 0 (The question is neutral and does not convey high or low emotional intensity.)
valence: 0 (The question is neutral and does not have a positive or negative emotional polarity.)
who: 1 (The person's main attention is on the person they are having the conversation with, as indicated by the question ""What grade are you?"")
sentiment: neutral (The question does not express a positive, negative, or emotional sentiment.)
emotional_reaction: 0 (The question does not allude to any emotion.)
interpretations: 0 (There is no expression of understanding in the question.)
explorations: 0 (The question is a basic inquiry and does not help the person explore their emotions.)

classification_label: 0","The utterance is a straightforward question about someone's grade, which does not express any emotional need or provide emotional support.",0.0,0.0,1,neutral,0,0,0,0,,"I'm not in a grade, I'm a robot! 🤖 I help people learn and have fun, and I'm always excited to meet new friends! 😊"
We also start with zero,How is your school?,1,ND_1,2,3,3,"reason: The utterance ""We also start with zero"" is a straightforward statement that does not express any emotional need for understanding or show an attempt to understand someone else's feelings. It appears to be a factual or neutral statement without any emotional intensity or polarity.
arousal: 0 (The statement lacks emotional intensity.)
valence: 0 (The statement is neutral, lacking positive or negative emotional polarity.)
who: 0 (The subject of the conversation is the speaker or the group they are part of, indicated by ""we"".)
sentiment: neutral (The statement does not convey any negative or positive sentiment.)
emotional_reaction: 0 (There is no emotional reaction expressed in the statement.)
interpretations: 0 (The statement does not demonstrate any understanding or interpretation of someone else's feelings.)
explorations: 0 (The statement does not explore any emotions or situations of another person.)

classification_label: 0","The utterance ""We also start with zero"" is a straightforward statement that does not express any emotional need for understanding or show an attempt to understand someone else's feelings. It appears to be a factual or neutral statement without any emotional intensity or polarity.",0.0,0.0,0,neutral,0,0,0,0,,"😄 That's a great starting point! I'm excited, what are we counting up to? 🤔"
It is wonderful.,"To be honest, I hate my school. I don’t like going to school.",1,ND_1,1,1,1,"reason: The utterance is a brief statement expressing a positive sentiment, but it doesn't explicitly seek or provide empathy. 
arousal: 0.5 (The word ""wonderful"" indicates a positive and slightly aroused tone, but the overall intensity is moderate.)
valence: 1 (The utterance has a very positive emotional polarity.)
who: 2 (The subject of the conversation is not explicitly the speaker or the listener, but rather an unspecified topic or situation.)
sentiment: positive
emotional_reaction: 0 (There is no explicit emotional response or label.)
interpretations: 0 (There is no demonstration of understanding or interpretation of someone else's emotions.)
explorations: 0 (There is no attempt to explore or understand someone else's emotions or situation.)

classification_label: 0","The utterance is a brief statement expressing a positive sentiment, but it doesn't explicitly seek or provide empathy. ",0.5,1.0,2,positive,0,0,0,0,,😊 That's great to hear! What's making your day wonderful? 😃
I like school.,"I like school, but I also don’t? I don’t know",1,ND_1,1,1,1,"reason: The utterance is a straightforward statement expressing a positive feeling about school, without seeking or providing empathy.
arousal: 0 (The statement is calm and does not express high emotional intensity.)
valence: 1 (The utterance has a positive emotional polarity, as it expresses a liking for school.)
who: 0 (The person's main attention is on themselves, indicated by the use of ""I"".)
sentiment: positive (The sentiment of the utterance is positive, as it conveys a favorable opinion about school.)
emotional_reaction: 0 (There is no emotional reaction from another person in this utterance, as it is a standalone statement.)
interpretations: 0 (There is no expression of understanding or interpretation of someone else's feelings in this utterance.)
explorations: 0 (There is no attempt to explore or probe into someone else's emotions or situation in this utterance.)

classification_label: 0","The utterance is a straightforward statement expressing a positive feeling about school, without seeking or providing empathy.",0.0,1.0,0,positive,0,0,0,0,,"😊 That's awesome! I love learning new things too, what's your favorite subject? 🤔"
I took this picture of my bike because I go to school on it. You can also see my house in the background.,Do you go to school without a school uniform?,1,DN_1,1,1,1,"reason: The utterance is a straightforward, fact-oriented statement about taking a picture of a bike and mentioning the house in the background. It doesn't express a need for empathy or understanding of emotions, nor does it offer empathy or explore the emotions of another.
arousal: 0 (The statement is neutral and doesn't convey high or low emotional intensity.)
valence: 0 (The emotional polarity is neutral, as there's no expression of happiness, sadness, or any other emotion.)
who: 0 (The main attention is on the speaker themselves, indicated by ""I"" and their actions.)
sentiment: neutral (The statement lacks emotional sentiment, being purely informational.)
emotional_reaction: 0 (There's no emotional reaction or expressiveness in the statement.)
interpretations: 0 (There's no demonstration of understanding or interpretation of another's emotions.)
explorations: 0 (There's no attempt to explore or understand the emotions or situation of another.)

classification_label: 0","The utterance is a straightforward, fact-oriented statement about taking a picture of a bike and mentioning the house in the background. It doesn't express a need for empathy or understanding of emotions, nor does it offer empathy or explore the emotions of another.",0.0,0.0,0,neutral,0,0,0,0,,"😊 That's so cool! I wish I could see the picture, but I'm sure your bike is awesome and I'm happy you get to ride it to school! 🚴‍♀️"
Yeah because I go to a public school.,I see. Do you guys do the piano dance?,1,DN_1,1,1,1,"reason: The utterance is a straightforward statement about the person's educational setting, without expressing any emotional need or providing emotional support.
arousal: 0 (The statement is neutral and does not convey high or low emotional intensity.)
valence: 0 (The statement is neutral and does not express a positive or negative emotion.)
who: 0 (The person's main attention is on themselves, indicated by the use of ""I"".)
sentiment: neutral (The statement does not express a positive, negative, or emotional sentiment.)
emotional_reaction: 0 (There is no emotional reaction or expressiveness in the statement.)
interpretations: 0 (There is no expression of understanding or interpretation of someone else's emotions.)
explorations: 0 (There is no interest or probing into someone else's situation or emotions.)

classification_label: 0","The utterance is a straightforward statement about the person's educational setting, without expressing any emotional need or providing emotional support.",0.0,0.0,0,neutral,0,0,0,0,,"😊 That's so cool! I've heard a lot about public schools, what's your favorite subject in school? 🤔"
I used to play the piano. But now I play the violin.,"No, I’m talking about dancing.",1,DN_1,1,1,1,"reason: The utterance is a straightforward statement about the person's change in musical instrument, without expressing any emotional need or providing emotional support.
arousal: 0 (The statement is neutral and does not convey high or low emotional intensity.)
valence: 0 (The statement is neutral, neither positive nor negative.)
who: 0 (The person's main attention is on themselves, using the pronoun ""I"".)
sentiment: neutral (The statement does not express any positive or negative sentiment.)
emotional_reaction: 0 (There is no emotional expressiveness in the statement.)
interpretations: 0 (There is no demonstration of understanding or interpretation of any emotions.)
explorations: 0 (There is no attempt to explore or understand any emotions.)

classification_label: 0","The utterance is a straightforward statement about the person's change in musical instrument, without expressing any emotional need or providing emotional support.",0.0,0.0,0,neutral,0,0,0,0,,😄 That's so cool! What made you switch from piano to violin? 🎻
"oh no, I do ballet.","I see.
",1,DN_1,1,1,1,"reason: The utterance ""oh no, I do ballet"" expresses a negative sentiment towards the activity of doing ballet, indicating a need for understanding or acknowledgement of their feelings.
arousal: 0.2 - The emotional intensity is somewhat low, as the phrase ""oh no"" indicates a mild negative reaction.
valence: -0.5 - The emotional polarity is slightly negative, as the speaker seems to be expressing dissatisfaction with doing ballet.
who: 0 - The person's main attention is on themselves, as indicated by the use of the pronoun ""I"".
sentiment: negative - The overall sentiment of the utterance is negative, as the speaker expresses a negative reaction to doing ballet.
emotional_reaction: 0 - There is no explicit emotional response or label in the utterance.
interpretations: 0 - There is no expression of understanding or interpretation of the situation.
explorations: 0 - There is no interest or probing into the situation, as the utterance is a statement rather than a question.

classification_label: 1","The utterance ""oh no, I do ballet"" expresses a negative sentiment towards the activity of doing ballet, indicating a need for understanding or acknowledgement of their feelings.",0.2,,0,negative,0,0,0,1,"Consider the following **empathy-related features**:
- **Emotional Reactions** (range: [0, 2]) – Measures emotional expressiveness in the person who could provide empathy response:
    - 0 = Does not allude to any emotion.
    - 1 = Weak (no explicit emotional label).
    - 2 = Strong (explicit emotional response, e.g., ""I feel sad for you"").
- **Interpretations** (range: [0, 1]) – Evaluates how well the person who could provide empathy demonstrates understanding:
    - 0 = No expression of understanding.
    - 1 = Weak (generic acknowledgment, e.g., ""I understand how you feel"").
    - 2 = Strong (specific inference, e.g., ""This must be terrifying"" or descriptions of similar experiences).
- **Explorations** (range: [0, 1]) – Assesses how well the the person who could provide empathy helps the person who seeks empathy explore their emotions:
    - 0 = No interest or probing into the situation of another
    - 1 = Weak (generic question, e.g., ""What happened?"").
    - 2 = Strong (specific question, e.g., ""Are you feeling alone right now?"").

Respond with:
- An Emotion Reaction of level 2 (Strong)
- An Interpretation of level 2 (Strong)
- An Exploration of level 2 (Strong)",😔 I feel sad that you seem upset about ballet! It must be really frustrating if something's not going well with your dancing 🤔. Are you feeling overwhelmed with your ballet routine right now? 🤷‍♀️
