text,label,revised_label,valence,arousal,sentiment,speaker_utterance,predictions_ER,predictions_IP,predictions_EX,classification_label
That sounds very interesting. And do you often go for walks with your dog?,0,0,0.406333333333333,0.0833333333333333,positive,this is a dummy text,1,0,2,2
How long have you been together?,0,0,0.415,-0.255,neutral,this is a dummy text,0,0,2,2
how can they do that?,0,0,0.332,-0.092,negative,this is a dummy text,0,0,1,2
I hope that I can be there with you. Maybe can make you feel better.,0,2,0.5415,-0.2105,positive,this is a dummy text,1,0,0,2
it's great to hear that who do you go there with?,0,2,0.485333333333333,0.0233333333333333,positive,this is a dummy text,1,0,2,2
That sounds very good.,0,0,0.703,-0.009,positive,this is a dummy text,1,0,0,2
so scary I'm also afraid of spider a lot,0,2,-0.584,0.2555,negative,this is a dummy text,0,2,0,0
I will immediately run away if I saw a spider,0,0,-0.0652,0.234,negative,this is a dummy text,0,2,0,1
That's really common in Japan. People will find it and help you.,0,0,0.3272,-0.186,positive,this is a dummy text,0,0,0,2
That's great.,0,0,0.916,0.33,positive,this is a dummy text,1,0,0,0
I agree. I also don't want to work overtime.,0,0,0.3715,0.0009999999999999,negative,this is a dummy text,1,2,0,2
"Yes, true.",0,0,0.792,-0.128,neutral,this is a dummy text,1,2,0,0
"Yes, I agree",0,0,0.812,-0.48,positive,this is a dummy text,1,0,0,2
"I can't imagine, that's so disgusting yes",0,2,-0.21,0.276,negative,this is a dummy text,0,0,0,2
I really can't imagine. I never want to try that.,0,2,0.356,0.115333333333333,negative,this is a dummy text,0,0,0,2
"Yes, me too. And where do you want to go if it's possible?",0,0,0.246,-0.0673333333333333,neutral,this is a dummy text,0,1,1,2
I think that will be very interesting,0,0,0.607333333333333,0.028,positive,this is a dummy text,0,0,0,2
I could see how that's really depressing is there like any way you got over that?,2,2,-0.0099999999999999,-0.272,negative,this is a dummy text,0,0,2,2
"Yeah, I think that's a healthy way to think about it. Yeah, a lot of things in life is just... has to do with luck.",2,2,0.4355,-0.262,positive,this is a dummy text,0,0,0,2
"Yeah, I think so.",2,0,0.572,-0.184,neutral,this is a dummy text,0,0,0,0
"You're very trustworthy of bugs. Like, how do you know that it's not like a spider that could harm you? Like, if it's hanging, it's like kind of far, right?",0,0,0.216,-0.162,neutral,this is a dummy text,0,0,0,2
"That's really interesting, because if I saw any spider, I would probably just want to get rid of it at any cost. I probably wouldn't care if I had to kill it or not, because I would be too afraid that it would kill me or something.",0,0,-0.176571428571429,0.166142857142857,neutral,this is a dummy text,0,2,0,2
I think that's just really trusting of something that you don't really know how it thinks.,0,0,0.597,-0.1575,neutral,this is a dummy text,0,0,0,2
"Oh god, that sounds terrifying. Did you ask for help? Did someone help them or did you just leave? What happened? And are you okay?",2,2,0.0874285714285714,0.0497142857142857,negative,this is a dummy text,0,0,2,2
"Yeah, that's... I would hope that you'd never experience that again. I hope I'd never see that kind of thing happen. I hope they're okay. But yeah, good to know that you're doing okay.",2,2,0.542363636363636,-0.252545454545455,neutral,this is a dummy text,1,0,0,2
yeah i feel like i've never had luck with that either like usually i mean going for friends or friends is like one of the best ways um but like what kind of stuff did you do like was it fun,2,2,0.4644,-0.177733333333333,positive,this is a dummy text,0,0,1,2
Well that sounds like a really good first date. I think that's very surprising because I feel like usually first dates are very hit or miss,2,2,0.366615384615385,-0.0184615384615385,positive,this is a dummy text,0,1,0,2
"Yeah, glad to hear it.",2,0,0.698,0.189,positive,this is a dummy text,1,0,0,0
"Oh, that's really interesting. I've never thought of presentations like that. I'm always scared of them. Like, will it go well? What if I screw up? I always have in my mind something of a backup plan. If this goes wrong, then do this kind of thing. Yeah, that's really interesting to hear. I don't think I've ever heard someone say something like that before.",0,2,0.252,-0.0688571428571428,positive,this is a dummy text,0,2,0,2
"Yeah, that sounds great. Hope it goes well.",0,0,0.58,0.023,positive,this is a dummy text,1,0,0,2
yeah that sounds terrible to have in your house. I hope it wasn't out there for too long.,0,0,0.212666666666667,-0.111333333333333,negative,this is a dummy text,1,0,0,2
"I mean, how long has it been? Like it's probably worse in this heat. So I really hope it gets out soon.",0,0,0.132285714285714,-0.0285714285714286,negative,this is a dummy text,0,1,2,2
honestly I've been I've been the other I've been that person that's responding at four am yeah I hope they got a decent night's sleep,2,2,0.4668,-0.4616,neutral,this is a dummy text,0,2,0,0
"Yeah, I mean it was probably a nice surprise in a way though, right?",2,2,0.386,-0.0356,positive,this is a dummy text,0,0,2,2
"I think it's also supposed to be with Coke, but you can do it with Sprite. And the thing with Sprite is that it also has citrus, a little citrusy flavor to it, whereas Coke is just kind of like the sweet, syrupy kind of stuff. So I guess it depends on what you're looking for for the meat. also like the coke would give it a better color because the sprite it just kind of left it like gray but it tasted good it just wasn't like it didn't look good if that makes sense",0,0,0.283142857142857,-0.264914285714286,neutral,this is a dummy text,0,0,0,2
"That's super impressive and I mean I can't believe that someone has the time to write that many papers, be first and second author and do all of that. I can't imagine doing that myself. Do you think you could pull off something like that? I feel like you could. I feel like you have all the skills and the knowledge to do it. I mean, you've been doing this for so long. That's something that you probably could do, but would it be something that you wanted to do?",2,2,0.345034482758621,-0.0895862068965517,positive,this is a dummy text,1,0,2,2
How did it survive boiling hot coffee? Like poured onto it? Like you're saying that it was like they poured around it and they knew it was there? Like I don't really see how else it could like really escape the the cup necessarily,2,2,0.271384615384615,-0.0675384615384615,neutral,this is a dummy text,0,0,2,2
"Yeah, it's kind of like just insanely gross. And did you like return the coffee or did you just like drink it still?",2,2,0.31625,-0.186,negative,this is a dummy text,0,0,2,2
"you tell them and get a free coffee? Like, I do think that they'd probably be fine with that if you said, hey, you know, a bug flew into my drink before I even could take it from you, before I even left the establishment.",2,2,0.368714285714286,-0.124428571428571,neutral,this is a dummy text,0,0,0,0
"Like, who cares if he's upset? right like he's gonna be he's gonna be hurting no matter what and what you're doing is setting your boundaries not setting not you're not like encroaching on his you're saying my boundaries are here i'm not comfortable with this i understand that you feel differently if this makes you upset then maybe it's something to think about whether you value a friendship where i don't hurt you or if you value a relationship where you're constantly getting hurt",2,2,0.19425,-0.0246666666666667,negative,this is a dummy text,0,0,0,2
"Yeah, I can understand how that would suck. I have never been able to relate to something like that. So yeah, all I can do is kind of imagine myself in your situation. I don't know what I would be doing either, just constantly stressed out, probably not sleeping well. Was that also affecting you? Did you find that you couldn't enjoy the normal things in your life because you were so just constantly in the back of your head worried about this kind of situation?",2,2,0.255724137931034,-0.0986896551724138,negative,this is a dummy text,1,1,0,2
"Yeah, and I mean there's something to be said for like once you get through that situation you kind of have the knowledge and the experience of like okay the next time it happens I know I can deal with it and I know I can get through it so you know there's also like that kind of aspect of like what doesn't kill you makes you stronger.",2,2,0.368416666666667,-0.15575,positive,this is a dummy text,1,0,0,2
"Yeah, yeah, that's pretty good. I mean, like, that's a lot of cooking, man. Like, 20 people's worth of food. I don't think no matter how much technology we have, that's still going to be a real pain in the butt to just kind of get through all of that. So that's cool. I mean, I'm glad that everyone enjoyed the food, at least.",2,0,0.394695652173913,-0.0938260869565217,positive,this is a dummy text,1,1,0,2
Was it expensive? I think unless the people are like helping chip in for the food if you're buying enough food for 20 people like that's got to be you know pretty sizable kind of like amount of money also it was it like a celebration or it was just kind of like meeting up with friends like what was the occasion?,2,0,0.471153846153846,-0.161461538461538,neutral,this is a dummy text,0,0,2,2
Did you end up like getting help from anyone else while cooking or it was just you solo kind of thing?,2,0,0.168285714285714,-0.332857142857143,neutral,this is a dummy text,0,0,2,2
"Yeah, that's tough. Yeah, but I mean, like, at least the party, like, was saved. You know, you stepped in, kind of, like, put all the elbow grease in, and I hope your niece is happy and that just the rest went off without a hitch.",2,2,0.364,-0.186375,positive,this is a dummy text,1,1,0,2
What makes you so surprised about your brother being able to do so?,0,0,0.4988,0.0736,neutral,this is a dummy text,0,0,2,2
Well I guess at some point a man needs to find help to do it by himself.,0,0,0.252333333333333,-0.0653333333333333,neutral,this is a dummy text,0,0,0,2
"That's so amazing, your nephew. How long has he been playing football?",2,2,0.4605,0.1435,positive,this is a dummy text,0,0,2,2
it must be a very interesting experience for him like to experience the big stage such a young age would be I think would be a lot for his development too Do you think he has big chance for this event?,2,2,0.403222222222222,-0.052,positive,this is a dummy text,0,0,2,2
yeah I also hope all the best for him as well great for him to like challenge himself to be a very big challenge I think this is also a great time to improve his capabilities,2,2,0.519636363636364,0.132181818181818,positive,this is a dummy text,1,0,0,2
"Wow, I can really feel you man. I usually cook by myself and I already feel that sometimes it's a bit too much especially after a long day of working, coming back, having to cook just for yourself. It's already been tiring. I cannot imagine how you have to cook like seven people and it's not just one or two dishes, seven different dishes, different ingredients, everything. well, that must be a big pain",2,2,0.236285714285714,-0.177,negative,this is a dummy text,1,2,0,2
"Yeah, I can see how you feel. I think that's also definitely a big problem. Living in a big family that you're having right now, seven people, all living together, everyone has different ideas. That's kind of unavoidable, I think, because everyone's different. How about you like asking everyone to agree with something beforehand like few days beforehand for example so that at least you have some preparations. I think that would help a little bit.",2,2,0.379,-0.1723125,neutral,this is a dummy text,1,1,0,2
"Yeah that's true I mean it's your family members, people are closest to you so just be open I think they should be listening to you as well. If they care about you. And I believe in the end, you find the same voice in certain things. It's not like you're forcing everyone to eat the same thing, but maybe have at least some agreement. Like maybe eating chicken, just prepared differently. Not eating like someone eat fish, someone shrimp, someone beef, at the same time. That would be a nightmare.",2,2,0.273,-0.1964375,neutral,this is a dummy text,1,0,0,2
I think yeah that's true yeah I feel like also connections in the modern world kind of like fading away people have less and less and less time together like with all the things around like work going on too many connections like they're too easy to meet many people right now but it's feel more difficult to build like strong deeper connections that you can trust each other so something like that that you experience really rare and really something I wish I can cherish so everyone should be able to have such friends in their life,2,2,0.399181818181818,-0.149090909090909,neutral,this is a dummy text,0,2,0,2
"Wow, that's something that's something a surprise for me. Like for your order to come one week early, that's something not expected definitely. Usually we expect that they come either on time or in some case even later than they're supposed to be. And definitely that's something to be happy with. What did you buy anyway?",2,2,0.265058823529412,-0.221058823529412,positive,this is a dummy text,0,1,0,2
well that's even more impressive actually like sending everything across the continent in orders and in perfect conditions all that this guy really knows how to do business and well I guess they win a new customer from now on yeah I'm glad that you happy with your purchase,2,2,0.4945,0.02,positive,this is a dummy text,1,0,0,2
what an experience you have there yeah and it's like you said it's in the middle of the night right it must be everything is quiet and suddenly you hear the sound on your windows and was it in mexico,2,2,0.339333333333333,-0.235,neutral,this is a dummy text,1,0,0,2
yeah what an experience So did you check out what happened after that? Like did you check out the bat or call anyone?,2,2,0.17,0.037,neutral,this is a dummy text,0,0,2,2
"yeah I know like Spooky experience, middle of the night with the bat.",2,2,0.0842857142857143,-0.0994285714285715,neutral,this is a dummy text,1,0,0,2
"Oh, I didn't expect that to happen to you. Did he say or explain to you what happened? Or like he just completely forgot about it and just like let it slide by without saying any word?",2,2,0.2396,-0.2074,negative,this is a dummy text,0,0,2,2
"Yeah, that sounds pretty weird, but why do you think he does that?",0,0,0.2944,0.0172,negative,this is a dummy text,0,0,2,2
"Does he put back something in it or like, is it just always taking stuff from it?",0,0,0.1495,-0.2645,neutral,this is a dummy text,0,0,2,2
"Yeah, that sounds horrible. It's pretty douchey",0,2,0.140666666666667,0.330666666666667,negative,this is a dummy text,0,0,0,2
Did you try clearing the cache of your browser?,0,0,0.224,-0.178666666666667,neutral,this is a dummy text,0,0,2,0
"Sometimes that causes some issue, but like you can always try that. But yeah, like what network are you using?",0,0,0.148571428571429,-0.101142857142857,negative,this is a dummy text,0,0,2,2
How much are you paying for it?,0,0,0.0,0.0,neutral,this is a dummy text,0,0,2,2
"Then I guess you have like a cheap network man, get it upgraded.",0,0,0.333,-0.131,neutral,this is a dummy text,0,0,0,2
"Good for you, good for you man.",0,0,0.876,-0.264,positive,this is a dummy text,1,0,0,2
"Yeah, that's great to hear, like you have a positive outlook on life.",0,0,0.686,-0.0039999999999999,positive,this is a dummy text,1,0,0,2
How is that possible like you always like snooze it five to ten times before you actually like wake up? Did you sleep early tonight or yesterday or what?,0,0,0.218,-0.38,neutral,this is a dummy text,0,0,2,2
Maybe you ate something weird yesterday that's why sometimes stomach problems can cause people to have weird sleep-sick schedules or something.,0,0,-0.161454545454545,-0.142727272727273,negative,this is a dummy text,0,0,0,2
"Okay. By the way, what did you eat yesterday? Did you drink a lot of coffee?",0,0,0.238333333333333,-0.251333333333333,neutral,this is a dummy text,0,0,2,0
There you have it.,0,0,0.0,0.0,neutral,this is a dummy text,0,0,0,0
did you get home before the storm or like did you end up actually being in the storm and lightning is pretty scary man,0,2,-0.0548888888888889,0.243777777777778,negative,this is a dummy text,0,0,2,2
Do you know of any incidents where it happened in real life?,0,0,0.243,0.074,neutral,this is a dummy text,0,0,2,2
wait like so you can survive when you get stuck by lightning,0,0,0.0116666666666667,0.0883333333333333,neutral,this is a dummy text,0,0,0,0
oh that's surprising,0,0,0.776,0.58,neutral,this is a dummy text,0,0,0,2
"What? See, like what do you mean you couldn't catch it? Like how strong was the wind?",0,0,0.28925,-0.106,negative,this is a dummy text,0,0,2,2
What bill was it like was it like small bill or a big bill?,0,0,0.134285714285714,-0.227142857142857,neutral,this is a dummy text,0,0,2,2
"Yeah, losing money no matter how small or how little is kind of sad",0,0,-0.0065714285714285,-0.261428571428571,negative,this is a dummy text,0,1,0,2
"You have a good group of friends, man. My friends are like the opposite of that.",0,2,0.438285714285714,-0.170285714285714,negative,this is a dummy text,0,0,0,2
"I don't know, man. I just somehow get attracted to people who are mean and stuff.",0,0,0.2684,-0.1244,negative,this is a dummy text,0,1,0,0
I think so too.,0,0,0.572,-0.184,neutral,this is a dummy text,0,2,0,2
"Yeah, best moments ever when you just go through something or you spend lots of time on something and you just actually finally make it through. It's really, really nice.",2,2,0.2795,-0.14525,positive,this is a dummy text,0,0,0,0
yeah like i i think like most of the times like like when i'm like achieving something or something like that like when i graduated like i felt like yeah like i'm supposed to graduate right so didn't feel it that way but like i felt joy in other places I really enjoy playing video games. Like when I finish a video game after spending like 20-30 hours on it I feel like you know,2,2,0.368166666666667,-0.132722222222222,positive,this is a dummy text,0,2,0,0
"Yeah, that kind of feeling",2,2,0.724,-0.431,neutral,this is a dummy text,0,1,0,0
"That sounds interesting. I'd like to share my moment about happiness that when I gave birth to a daughter, I was very happy.",0,0,0.675111111111111,0.160444444444444,positive,this is a dummy text,0,2,0,0
"I think this is a very interesting design that people can share their emotions and have an interaction with Haru, the smartest robot in the world.",0,0,0.4062,0.0274,positive,this is a dummy text,0,0,0,0
Oh so sad I can sense your feeling because we don't know what happened babies can't talk.,2,2,0.402571428571429,-0.282571428571429,negative,this is a dummy text,1,0,0,2
Oh as a mom I can't hear that I'm going to cry,2,2,0.213333333333333,-0.072,negative,this is a dummy text,0,1,0,2
"Yeah, I think you should go home and look after your daughter.",2,2,0.5108,-0.2148,neutral,this is a dummy text,0,0,0,2
"Yeah, home is the shelter for us and because we live in Japan, our parents are very far away from us, I think families living together is the most important person we have.",2,2,0.606666666666667,-0.136,positive,this is a dummy text,0,2,0,0
"I think you must be a good son, husband and dad in the family.",2,2,0.577142857142857,-0.194857142857143,positive,this is a dummy text,0,0,0,2
When your family are going to visit you?,2,0,0.739,-0.174,neutral,this is a dummy text,0,0,2,2
Sounds great. So you can take them travel around in Japan,2,0,0.6596,0.1984,positive,this is a dummy text,0,0,0,2
"Oh no, what a sad news for you. It's like maybe we may lose contact with him because he's very far away. Sounds like we lose some connections in personal life.",2,2,0.185166666666667,-0.0831666666666667,negative,this is a dummy text,0,0,0,0
I feel so sorry for you. I think maybe sometime you can visit him when you have time or he can go back to Japan and you can hang out together.,2,2,0.266666666666667,-0.1585,neutral,this is a dummy text,2,0,0,2
"Yeah, I think it's very hard to make new friends since we are adults.",2,2,0.47,-0.0233333333333333,negative,this is a dummy text,0,2,0,0
what how could this happen well that's incredible I can't believe this happened in your company,2,2,0.6105,0.1305,positive,this is a dummy text,2,0,1,2
Oh I can't believe that. Did you report to the managers and check the surveillance?,2,0,0.1508,0.054,negative,this is a dummy text,2,0,2,2
Exactly. They should investigate it as soon as possible. They should prevent from doing from now on.,2,2,0.308666666666667,-0.135333333333333,negative,this is a dummy text,0,0,0,2
What?! You are so lucky! But you don't remember her name. You should ask for a signature.,2,2,0.364,-0.1224,positive,this is a dummy text,0,0,1,2
So she gave a talk and then left.,2,0,0.187,-0.284,neutral,this is a dummy text,0,0,0,0
"Definitely, they should. Oh, I wish I could be there.",2,2,0.542,0.166,positive,this is a dummy text,0,0,0,0
well you're so lucky i'm jealous we're waiting for there have been like so many hours but our credit hasn't get approved i think i could be as lucky as you guys oh i think you must anticipate with your new life.,2,2,0.358625,-0.042125,positive,this is a dummy text,1,0,0,2
Oh congratulations I hope we can be neighbors,2,2,0.597,-0.0475,positive,this is a dummy text,1,0,0,2
Well that's... that's so inappropriate. Gross. Gross! I can't believe he did that.,2,2,-0.427,0.031,negative,this is a dummy text,0,0,0,2
"Ew, I can't imagine that. Oh, gross. I think I will be mad with him if I was at the office at the meeting.",2,2,0.0725714285714286,0.0328571428571429,negative,this is a dummy text,0,2,0,0
"Okay, you ruined my day, too. I think I need to recover from that gross scenario.",2,2,0.1,-0.0257142857142857,negative,this is a dummy text,0,2,0,0
Oh that's bad. Did you try to find some cheap options in here?,0,0,0.0508,0.0516,negative,this is a dummy text,0,0,2,2
I'm actually not a big fan of watching movies in the theaters but I think you can find some cheap options if you search online.,0,0,0.4232,0.0026,neutral,this is a dummy text,0,0,0,2
"Wow, that's a kind of cool experience for me but like, do you feel scary?",2,2,0.404333333333333,0.101666666666667,positive,this is a dummy text,0,0,2,0
I think you shouldn't be panic on that kind of situations because you're gonna do more accidents because of that,2,2,-0.0312,0.1524,negative,this is a dummy text,0,0,0,2
"Yeah, even I haven't had that kind of experience in here. But for me, hearing that kind of story sounds cool but scary at the same time.",2,2,0.400222222222222,-0.0228888888888889,neutral,this is a dummy text,0,2,0,0
Oh really? So are you okay right now? Do you feel any pain?,2,2,0.112,0.1335,neutral,this is a dummy text,0,0,2,2
Did you use more weights? Is that the problem? I think you should be careful next time.,2,2,-0.0116666666666667,-0.128,negative,this is a dummy text,0,0,2,2
I think you should take a good rest.,2,2,0.7295,-0.26,positive,this is a dummy text,0,0,0,2
"Man that is so unfair, I think you should talk to the agency again, what is the point of like they cannot rent a place for foreigners.",2,2,0.084,-0.271777777777778,negative,this is a dummy text,0,0,0,2
"Yeah, this is not so right. I think you should go to the place and ask the reason why they cannot do that. Or I think you should go to another agent. Because I always feel like, since you are working here and your documents are legit, what is the problem with that? I think you should talk to them. And if it doesn't work, even I can help to find another agency.",2,2,0.297090909090909,-0.133818181818182,negative,this is a dummy text,0,0,1,0
"Yeah for sure man, I'm here to help you anytime, no problem.",2,2,0.042,-0.077,positive,this is a dummy text,1,0,0,0
What is that game about? Can you tell me more about that?,0,0,0.298666666666667,-0.0013333333333333,neutral,this is a dummy text,0,0,2,2
"Oh, it's soccer. I'm not a big fan of soccer, but I have seen some World Cup matches. Sounds kind of exciting. So I would like to know more about soccer.",0,2,0.446142857142857,0.0632857142857143,positive,this is a dummy text,0,0,0,2
"Okay, I know that part but I don't know much about the rules and everything. So you can teach me sometimes.",0,2,0.44,-0.2252,neutral,this is a dummy text,0,0,0,0
"Yeah, let's see how it goes.",0,0,0.145,-0.29,neutral,this is a dummy text,0,0,0,0
Wow one kilogram of ice cream that sounds a lot. It's like it's because of summer?,0,0,0.25175,-0.34,positive,this is a dummy text,0,0,2,2
"Yeah, makes sense, like, if you don't like the usual food, like, you should try something new.",0,0,0.479111111111111,-0.226222222222222,neutral,this is a dummy text,0,0,0,2
"Yeah, of course, like, you know, you can do dieting anytime, but like, you have to eat everyday, right?",0,0,0.435111111111111,-0.217555555555556,neutral,this is a dummy text,0,0,0,0
I think like maybe for now it's okay but like it's better to control that as well,0,0,0.4765,-0.267,positive,this is a dummy text,0,0,0,2
oh yeah like that sounds pretty cool but like I'd like to know like where are you from,0,0,0.5415,-0.137,positive,this is a dummy text,0,0,1,0
okay I see but like I'm kind of new to here so I thought like seeing animal is not kind of popular here so that's why you haven't seen this kind of animal before right,0,0,0.531,-0.242,neutral,this is a dummy text,0,0,0,2
yeah for me it's not really exciting because like i have seen many animals in my country so yeah,0,0,0.458,-0.0248,negative,this is a dummy text,0,2,0,0
yeah you should because like you can do Safari and you can see many different types of animals there so you should visit sometimes,0,0,0.27075,-0.1785,positive,this is a dummy text,0,0,0,2
"Wow, that sounds bad. I think you should keep track of what she's doing right now.",0,2,0.192666666666667,-0.0876666666666667,negative,this is a dummy text,0,0,0,2
yeah I think like you should try to contact teachers as well like and maybe you should talk with her friends to know what's going on with her right yeah right,0,2,0.507454545454545,-0.215090909090909,neutral,this is a dummy text,0,0,0,2
yeah but do you remember like what we have what we did when were kids like maybe they also try to do some crazy stuff so you have to take a good care of her otherwise like you know sometimes things gonna go bad right,0,2,0.277666666666667,-0.103666666666667,neutral,this is a dummy text,0,2,0,2
yeah you should I think like everything gonna be fine just talk to her then maybe you can find a solution for that,0,2,0.539142857142857,-0.256857142857143,positive,this is a dummy text,1,0,0,2
"Wow, that's impressive. Did he look buff?",2,2,0.374,0.122666666666667,positive,this is a dummy text,0,0,2,2
yeah 150 kilograms is impressive like for anyone maybe he's like uh he's been working there like for a long time?,2,2,0.33325,-0.15625,positive,this is a dummy text,0,0,2,2
"It's like, I'm also surprised, like, I had no idea somebody was capable of doing such things.",2,2,0.395333333333333,-0.0306666666666667,negative,this is a dummy text,0,2,0,0
uh also for me now that i hear about this story i cannot believe somebody just didn't care about the life of their own daughter or like a son i don't believe such people exist in this world,2,2,0.520666666666667,-0.182,negative,this is a dummy text,0,0,0,0
"Yes, it's like how people can do these extreme things just based on what they believe or their beliefs. You could say that they sacrificed their unborn son or daughter just because of their beliefs. I think that we should put at a higher level human values and consider life as the most important thing.",2,2,0.383909090909091,-0.165909090909091,negative,this is a dummy text,1,1,0,0
"Yes, I understand the feeling. I feel the same actually. There should be something we can do as a society to protect people, especially those like, they cannot defend themselves, like kids, protect them from the rest of the world.",2,2,0.482714285714286,-0.0858571428571429,neutral,this is a dummy text,1,1,0,2
"I'm happy to hear that story. It's always difficult to start something new because maybe you feel like you will make mistakes. And also you started to play with a new group of people, I understand. Is that correct?",2,2,0.398,-0.0216470588235294,positive,this is a dummy text,1,0,2,2
So you continue playing with them in the same group? Continue playing Dungeons & Dragons?,2,2,0.06,0.0824,neutral,this is a dummy text,0,0,2,2
awesome it's a great hobby to have,2,2,0.761,0.2555,positive,this is a dummy text,1,0,0,2
i don't even know what to say it's like it's horrible how how that could happen such a nice restaurant did you do you complain,2,2,0.18075,0.02025,negative,this is a dummy text,0,0,2,2
right I get it Maybe some people try to actually cheat and do what they thought you was doing. Do you think that's possible or is it just a tactic to protect themselves from these mistakes?,2,2,0.226,0.0063076923076923,negative,this is a dummy text,0,0,2,2
"Right, so you had the evidence. So just a shame. They lost a customer.",2,2,-0.1756,0.046,negative,this is a dummy text,0,0,0,2
